Region,Country,City,Day,AvgTemperature,AvgTemperatureCelsia
North America,US,Cincinnati,13,41.8,5.44
North America,US,Cleveland,13,42.0,5.56
North America,US,Columbus,13,41.4,5.22
North America,US,Dayton,13,38.5,3.61
North America,US,Toledo,13,38.7,3.72
North America,US,Youngstown,13,37.4,3.0
North America,US,Oklahoma City,13,51.4,10.78
North America,US,Tulsa,13,51.7,10.94
North America,US,Eugene,13,50.9,10.5
North America,US,Medford,13,53.2,11.78
North America,US,Portland,13,50.8,10.44
North America,US,Salem,13,52.3,11.28
North America,US,Allentown,13,39.5,4.17
North America,US,Erie,13,38.8,3.78
North America,US,Philadelphia,13,41.7,5.39
North America,US,Pittsburgh,13,40.2,4.56
North America,US,Wilkes Barre,13,38.1,3.39
North America,US,Rhode Island,13,37.3,2.94
North America,US,Charleston,13,57.2,14.0
North America,US,Columbia,13,52.8,11.56
North America,US,Rapid City,13,41.8,5.44
North America,US,Sioux Falls,13,37.3,2.94
North America,US,Chattanooga,13,53.5,11.94
North America,US,Knoxville,13,50.6,10.33
North America,US,Memphis,13,52.6,11.44
North America,US,Nashville,13,49.0,9.44
North America,US,Abilene,13,54.9,12.72
North America,US,Amarillo,13,50.4,10.22
North America,US,Austin,13,69.8,21.0
North America,US,Brownsville,13,75.6,24.22
North America,US,Corpus Christi,13,72.8,22.67
North America,US,Dallas Ft Worth,13,62.0,16.67
North America,US,El Paso,13,60.2,15.67
North America,US,Houston,13,68.5,20.28
North America,US,Lubbock,13,50.7,10.39
North America,US,Midland Odessa,13,55.2,12.89
North America,US,San Angelo,13,58.2,14.56
North America,US,San Antonio,13,70.6,21.44
North America,US,Waco,13,64.5,18.06
North America,US,Wichita Falls,13,54.7,12.61
North America,US,Salt Lake City,13,43.5,6.39
North America,US,Burlington,13,31.9,-0.06
North America,US,Norfolk,13,50.8,10.44
North America,US,Richmond,13,43.4,6.33
North America,US,Roanoke,13,44.5,6.94
North America,US,Seattle,13,50.4,10.22
North America,US,Spokane,13,40.4,4.67
North America,US,Yakima,13,47.1,8.39
North America,US,Charleston,13,46.2,7.89
North America,US,Elkins,13,42.9,6.06
North America,US,Green Bay,13,32.6,0.33
North America,US,Madison,13,30.0,-1.11
North America,US,Milwaukee,13,36.8,2.67
North America,US,Casper,13,48.1,8.94
North America,US,Cheyenne,13,45.7,7.61
